r,dp
5.656854249492380582e+00,5.335559384491415091e-01
6.403124237432848531e+00,5.531640003072112455e-01
7.211102550927978250e+00,5.719705100922385377e-01
8.062257748298549132e+00,5.896486372355050909e-01
8.944271909999159220e+00,6.061172073685050510e-01
9.848857801796103928e+00,6.214111198190950258e-01
1.077032961426900748e+01,6.356136922252323407e-01
1.170469991071962568e+01,6.488232294333511341e-01
1.264911064067351809e+01,6.611374111272908527e-01
1.360147050873544394e+01,6.726466273595155254e-01
1.456021977856103611e+01,6.834316728574720834e-01
1.552417469626002422e+01,6.935634823128044024e-01
1.649242250247064234e+01,7.031037554862027417e-01
1.746424919657297892e+01,7.121059110118814761e-01
1.843908891458577415e+01,7.206161037260333524e-01
1.941648783894759944e+01,7.286741876118020267e-01
2.039607805437113797e+01,7.363145787794872499e-01
2.137755832643194864e+01,7.435670075033090631e-01
2.236067977499789805e+01,7.504571640231997298e-01
2.334523505985750447e+01,7.570072491220731781e-01
2.433105012119287736e+01,7.632364422422750483e-01
5.000000000000000000e+00,5.128978185487282904e-01
5.099019513592784492e+00,5.162467363158398381e-01
5.385164807134503739e+00,5.253030594739686032e-01
5.830951894845300743e+00,5.381946170653857386e-01
6.403124237432848531e+00,5.531640003072111345e-01
7.071067811865475505e+00,5.689349356220788634e-01
7.810249675906653977e+00,5.847058709369462592e-01
8.602325267042626677e+00,6.000254945988761079e-01
9.433981132056603158e+00,6.146682542908150637e-01
1.029563014098700080e+01,6.285428406292257186e-01
1.118033988749894903e+01,6.416330466888542361e-01
1.208304597359457233e+01,6.539620941770127871e-01
1.300000000000000000e+01,6.655720208828767026e-01
1.392838827718411920e+01,6.765121591910792098e-01
1.486606874731850603e+01,6.868329158484400843e-01
1.581138830084189628e+01,6.965825761326421839e-01
1.676305461424021104e+01,7.058058036764250920e-01
1.772004514666934938e+01,7.145430728197029735e-01
1.868154169226940553e+01,7.228305995275484674e-01
1.964688270438849926e+01,7.307005261461592127e-01
2.061552812808830382e+01,7.381812234381799342e-01
2.158703314492290204e+01,7.452976349891665686e-01
2.256102834535695578e+01,7.520716241152738402e-01
2.353720459187963954e+01,7.585223032151211520e-01
2.451530134426252516e+01,7.646663366008277229e-01
6.000000000000000000e+00,5.421059583882605892e-01
6.082762530298219339e+00,5.443917024291009543e-01
6.324555320336759046e+00,5.508076635171400559e-01
6.708203932499369415e+00,5.603635318892912220e-01
7.211102550927978250e+00,5.719705100922384267e-01
7.810249675906653977e+00,5.847058709369463703e-01
8.485281374238569541e+00,5.978925434345921941e-01
9.219544457292887074e+00,6.110792159322380179e-01
1.000000000000000000e+01,6.239874745666535993e-01
1.081665382639196871e+01,6.364589417181385489e-01
1.166190378969060149e+01,6.484135597239458759e-01
1.252996408614166768e+01,6.598200797029692977e-01
1.341640786499873883e+01,6.706764190361240718e-01
1.431782106327635340e+01,6.809970726734843049e-01
1.523154621172781731e+01,6.908052552125671930e-01
1.615549442140351033e+01,7.001281026928992679e-01
1.708800749063506075e+01,7.089938102671526909e-01
1.802775637731994607e+01,7.174299770629567474e-01
1.897366596101027625e+01,7.254626954182984422e-01
1.992485884517127559e+01,7.331160940071065335e-01
2.088061301782110135e+01,7.404121538379064837e-01
2.184032966784155505e+01,7.473706848999036589e-01
2.280350850198275836e+01,7.540093942336077992e-01
2.376972864800942631e+01,7.603440030223098667e-01
2.473863375370596174e+01,7.663883870087661032e-01
7.000000000000000000e+00,5.667426101461122689e-01
7.071067811865475505e+00,5.684064514951637781e-01
7.280109889280518054e+00,5.731723602761999992e-01
7.615773105863908654e+00,5.804813368824002229e-01
8.062257748298549132e+00,5.896486372355048688e-01
8.602325267042626677e+00,6.000254945988761079e-01
9.219544457292887074e+00,6.110792159322380179e-01
9.899494936611665352e+00,6.224113511288307254e-01
1.063014581273464998e+01,6.337434863254230999e-01
1.140175425099137918e+01,6.448918919527293347e-01
1.220655561573370207e+01,6.557421707858216431e-01
1.303840481040529831e+01,6.662282458747947889e-01
1.389244398944980396e+01,6.763165028851654270e-01
1.476482306023340030e+01,6.859944572541667451e-01
1.565247584249852864e+01,6.952629296354451149e-01
1.655294535724684835e+01,7.041307691592348927e-01
1.746424919657297892e+01,7.126113576363296565e-01
1.838477631085023489e+01,7.207203297466729941e-01
1.931320791582796659e+01,7.284741110755820204e-01
2.024845673131658685e+01,7.358890006260619954e-01
2.118962010041709121e+01,7.429806130064359193e-01
2.213594362117865444e+01,7.497635565389338952e-01
2.308679276123039159e+01,7.562512648969439422e-01
2.404163056034261459e+01,7.624559276317443013e-01
2.500000000000000000e+01,7.683884834734537872e-01
8.000000000000000000e+00,5.880515792058609303e-01
8.062257748298549132e+00,5.893191331292416679e-01
8.246211251235321171e+00,5.929939892100963839e-01
8.544003745317530374e+00,5.987408181286045794e-01
8.944271909999159220e+00,6.061172073685048289e-01
9.433981132056603158e+00,6.146682542908150637e-01
1.000000000000000000e+01,6.239874745666538214e-01
1.063014581273464998e+01,6.337434863254232109e-01
1.131370849898476116e+01,6.436832276534787400e-01
1.204159457879229578e+01,6.536229689815340471e-01
1.280624847486569706e+01,6.634349855918166838e-01
1.360147050873544394e+01,6.730342301252227877e-01
1.442220510185595650e+01,6.823668893755761022e-01
1.526433752247374720e+01,6.914013238225718005e-01
1.612451549659709826e+01,7.001212369158112958e-01
1.700000000000000000e+01,7.085206866722656427e-01
1.788854381999831844e+01,7.166005213722581590e-01
1.878829422805593552e+01,7.243658732118234411e-01
1.969771560359220786e+01,7.318244185112948719e-01
2.061552812808830382e+01,7.389851844151235083e-01
2.154065922853801496e+01,7.458577410228413029e-01
2.247220505424423109e+01,7.524516633524520604e-01
2.340939982143925135e+01,7.587761811834899950e-01
2.435159132377184221e+01,7.648399591342696091e-01
2.529822128134703618e+01,7.706509666306100570e-01
9.000000000000000000e+00,6.068254404188475615e-01
9.055385138137417300e+00,6.078245126058454684e-01
9.219544457292887074e+00,6.107436453063395110e-01
9.486832980505138124e+00,6.153707390534171040e-01
9.848857801796103928e+00,6.214111198190950258e-01
1.029563014098700080e+01,6.285428406292257186e-01
1.081665382639196871e+01,6.364589417181387709e-01
1.140175425099137918e+01,6.448918919527294458e-01
1.204159457879229578e+01,6.536229689815340471e-01
1.272792206135785520e+01,6.624817707281113188e-01
1.345362404707370985e+01,6.713405724746884795e-01
1.421267040355189515e+01,6.801067996587031317e-01
1.500000000000000000e+01,6.887155006693446158e-01
1.581138830084189628e+01,6.971227117447327259e-01
1.664331697709323876e+01,7.053000075329630691e-01
1.749285568453590045e+01,7.132302192417581121e-01
1.835755975068581947e+01,7.209041679686137849e-01
1.923538406167134340e+01,7.283182232170675174e-01
2.012461179749810825e+01,7.354725053426507397e-01
2.102379604162863913e+01,7.423695775002958630e-01
2.193171219946130890e+01,7.490135033173537238e-01
2.284731931759172596e+01,7.554091746645430483e-01
2.376972864800942631e+01,7.615618373502942573e-01
2.469817807045693669e+01,7.674767610912340832e-01
2.563201123595259290e+01,7.731590142852109437e-01
1.000000000000000000e+01,6.236011572578382678e-01
1.004987562112088995e+01,6.244098315689529111e-01
1.019803902718556898e+01,6.267853403559989767e-01
1.044030650891055068e+01,6.305873729596292998e-01
1.077032961426900748e+01,6.356136922252325627e-01
1.118033988749894903e+01,6.416330466888544581e-01
1.166190378969060149e+01,6.484135597239462090e-01
1.220655561573370207e+01,6.557421707858217541e-01
1.280624847486569706e+01,6.634349855918167949e-01
1.345362404707370985e+01,6.713405724746884795e-01
1.414213562373095101e+01,6.793387339201225616e-01
1.486606874731850603e+01,6.873368953655567548e-01
1.562049935181330795e+01,6.952656018983665032e-01
1.640121946685672683e+01,7.030740149540516404e-01
1.720465053408525335e+01,7.107258622295496986e-01
1.802775637731994607e+01,7.181960147931901739e-01
1.886796226411320632e+01,7.254677080433712399e-01
1.972308292331602075e+01,7.325303463451823260e-01
2.059126028197400160e+01,7.393778021419445956e-01
2.147091055358388800e+01,7.460071169260553692e-01
2.236067977499789805e+01,7.524175200817347919e-01
2.325940669922601600e+01,7.586096946380722628e-01
2.416609194718914466e+01,7.645852324619099027e-01
2.507987240796890660e+01,7.703462335951614115e-01
2.600000000000000000e+01,7.758950146802611192e-01
1.100000000000000000e+01,6.387595254745999096e-01
1.104536101718726115e+01,6.394283160561291535e-01
1.118033988749894903e+01,6.414005115890742958e-01
1.140175425099137918e+01,6.445797202038686669e-01
1.170469991071962568e+01,6.488232294333513561e-01
1.208304597359457233e+01,6.539620941770130091e-01
1.252996408614166768e+01,6.598200797029696307e-01
1.303840481040529831e+01,6.662282458747948999e-01
1.360147050873544394e+01,6.730342301252227877e-01
1.421267040355189515e+01,6.801067996587031317e-01
1.486606874731850603e+01,6.873368953655567548e-01
1.555634918610404505e+01,6.946364459850348227e-01
1.627882059609970611e+01,7.019359966045130017e-01
1.702938636592640265e+01,7.091818839435577448e-01
1.780449381476485726e+01,7.163334116379937999e-01
1.860107523773827509e+01,7.233602696580815339e-01
1.941648783894759944e+01,7.302403030664985639e-01
2.024845673131658685e+01,7.369576519783460622e-01
2.109502310972898798e+01,7.435012399538897254e-01
2.195449840010014952e+01,7.498635679802464482e-01
2.282542442102665348e+01,7.560397654454574790e-01
2.370653918225939449e+01,7.620268513441015301e-01
2.459674775249768786e+01,7.678231642641115684e-01
2.549509756796392423e+01,7.734279261472407629e-01
2.640075756488817049e+01,7.788409111631436899e-01
1.200000000000000000e+01,6.525803125283028416e-01
1.204159457879229578e+01,6.531433955918896084e-01
1.216552506059643868e+01,6.548086697403000533e-01
1.236931687685298087e+01,6.575077668334199377e-01
1.264911064067351809e+01,6.611374111272909637e-01
1.300000000000000000e+01,6.655720208828768136e-01
1.341640786499873883e+01,6.706764190361240718e-01
1.389244398944980396e+01,6.763165028851654270e-01
1.442220510185595650e+01,6.823668893755761022e-01
1.500000000000000000e+01,6.887155006693446158e-01
1.562049935181330795e+01,6.952656018983665032e-01
1.627882059609970611e+01,7.019359966045128907e-01
1.697056274847713908e+01,7.086600545910927140e-01
1.769180601295413169e+01,7.153841125776725374e-01
1.843908891458577415e+01,7.220656307207861113e-01
1.920937271229854559e+01,7.286713491346437088e-01
2.000000000000000000e+01,7.351755825861956417e-01
2.080865204668481283e+01,7.415587185478133003e-01
2.163330765278393741e+01,7.478059377150219067e-01
2.247220505424423109e+01,7.539061495955832193e-01
2.332380757938120297e+01,7.598511223757472566e-01
2.418677324489564739e+01,7.656347810287644773e-01
2.505992817228333536e+01,7.712526471031942998e-01
2.594224354214569317e+01,7.767013955665461600e-01
2.683281572999747766e+01,7.819785071021106981e-01
1.300000000000000000e+01,6.652749334548325733e-01
1.303840481040529831e+01,6.657562840428263851e-01
1.315294643796590535e+01,6.671830049468167045e-01
1.334166406412633421e+01,6.695052662622202888e-01
1.360147050873544394e+01,6.726466273595157475e-01
1.392838827718411920e+01,6.765121591910793208e-01
1.431782106327635340e+01,6.809970726734843049e-01
1.476482306023340030e+01,6.859944572541666341e-01
1.526433752247374720e+01,6.914013238225718005e-01
1.581138830084189628e+01,6.971227117447327259e-01
1.640121946685672683e+01,7.030740149540516404e-01
1.702938636592640265e+01,7.091818839435576338e-01
1.769180601295413169e+01,7.153841125776725374e-01
1.838477631085023489e+01,7.216288810552534683e-01
1.910497317454279909e+01,7.278736495328345102e-01
1.984943324127920761e+01,7.340839135735112153e-01
2.061552812808830382e+01,7.402319595958268827e-01
2.140093455903269515e+01,7.462957019116897017e-01
2.220360331117451835e+01,7.522576427628011597e-01
2.302172886644267535e+01,7.581039703113172656e-01
2.385372088375312671e+01,7.638237934331837398e-01
2.469817807045693669e+01,7.694085032920150447e-01
2.555386467836127551e+01,7.748512475533549937e-01
2.641968962724581260e+01,7.801465019136387680e-01
2.729468812791236232e+01,7.852897241129377370e-01
1.400000000000000000e+01,6.770068532053749033e-01
1.403566884761819900e+01,6.774238021777665431e-01
1.414213562373095101e+01,6.786617997419202020e-01
1.431782106327635340e+01,6.806836659091284325e-01
1.456021977856103611e+01,6.834316728574723054e-01
1.486606874731850603e+01,6.868329158484403063e-01
1.523154621172781731e+01,6.908052552125671930e-01
1.565247584249852864e+01,6.952629296354448929e-01
1.612451549659709826e+01,7.001212369158111848e-01
1.664331697709323876e+01,7.053000075329628471e-01
1.720465053408525335e+01,7.107258622295494765e-01
1.780449381476485726e+01,7.163334116379935779e-01
1.843908891458577415e+01,7.220656307207860003e-01
1.910497317454279909e+01,7.278736495328345102e-01
1.979898987322333070e+01,7.337161727817871348e-01
2.051828452868319275e+01,7.395586960307398705e-01
2.126029162546929996e+01,7.453726403119110833e-01
2.202271554554523902e+01,7.511344867403175751e-01
2.280350850198275836e+01,7.568249611131758758e-01
2.360084744241189370e+01,7.624282954537008328e-01
2.441311123146740414e+01,7.679315777536552812e-01
2.523885892824792521e+01,7.733241911527570789e-01
2.607680962081059661e+01,7.785973379045718623e-01
2.692582403567251959e+01,7.837436404217162922e-01
2.778488797889960793e+01,7.887568104779026923e-01
1.500000000000000000e+01,6.879048750111345090e-01
1.503329637837290811e+01,6.882702717209447929e-01
1.513274595042155646e+01,6.893567259339692388e-01
1.529705854077835525e+01,6.911359247749007118e-01
1.552417469626002422e+01,6.935634823128046245e-01
1.581138830084189628e+01,6.965825761326424059e-01
1.615549442140351033e+01,7.001281026928992679e-01
1.655294535724684835e+01,7.041307691592348927e-01
1.700000000000000000e+01,7.085206866722656427e-01
1.749285568453590045e+01,7.132302192417580011e-01
1.802775637731994607e+01,7.181960147931900629e-01
1.860107523773827509e+01,7.233602696580814229e-01
1.920937271229854559e+01,7.286713491346435978e-01
1.984943324127920761e+01,7.340839135735112153e-01
2.051828452868319275e+01,7.395586960307398705e-01
