r,dp
5.656854249492380582e+00,2.107151778447636570e+00
6.403124237432848531e+00,2.184756978829070384e+00
7.211102550927978250e+00,2.259148039527659968e+00
8.062257748298549132e+00,2.329035573247624225e+00
8.944271909999159220e+00,2.394112198079867859e+00
9.848857801796103928e+00,2.454527784875319085e+00
1.077032961426900748e+01,2.510620071723622004e+00
1.170469991071962568e+01,2.562782802162127727e+00
1.264911064067351809e+01,2.611405149247071567e+00
1.360147050873544394e+01,2.656846066286413066e+00
1.456021977856103611e+01,2.699425896255100099e+00
1.552417469626002422e+01,2.739425791957912359e+00
1.649242250247064234e+01,2.777089285000594820e+00
1.746424919657297892e+01,2.812627845404937599e+00
1.843908891458577415e+01,2.846223951334908353e+00
1.941648783894759944e+01,2.878035182064811348e+00
2.039607805437113797e+01,2.908196946624728607e+00
2.137755832643194864e+01,2.936827258930048590e+00
2.236067977499789805e+01,2.964027419942825148e+00
2.334523505985750447e+01,2.989885087397895269e+00
2.433105012119287736e+01,3.014475640125609868e+00
